"calageBP","delta14c","delta14c_sig"
1154,-12.8721553887018,0.654862001247328
1155,-13.0937858610599,0.693100004449052
1156,-13.3225535597469,0.671887062599735
1157,-13.4213118989162,0.681907845130968
1158,-13.2015485231013,0.702083175426711
1159,-12.5577901049844,0.666204550219339
1160,-11.5195579530311,0.687459834829358
1161,-10.1577632033386,0.6577289527555
1162,-8.73585111204143,0.678397474025383
1163,-7.5922720405692,0.715485557813427
1164,-6.89233871681527,0.712117154245886
1165,-6.54580553862575,0.742717529462145
1166,-6.4433233609451,0.678878768632219
1167,-6.48391265035068,0.645953929948706
1168,-6.56745230573491,0.614330502816202
1169,-6.5010801070898,0.488126765961382
1170,-5.96748425156799,0.425182268396144
1171,-4.764909908632,0.35335279317827
1172,-3.3527527879134,0.343883220807006
1173,-2.40279654337407,0.337700935424165
1174,-2.36259574901379,0.288078555242047
1175,-3.4054776257311,0.386437941321764
1176,-15.6342325002304,0.406839819642538
1177,-17.834576627325,0.308912174898377
1178,-18.9649305644821,0.321520737118605
1179,-18.8245474837432,0.315795571679969
1180,-18.3009828637569,0.388951338168576
1181,-18.1238068524752,0.428002884111567
1182,-18.0997211795197,0.527104610345989
1183,-17.802901995708,0.549297029712716
1184,-17.1630098288893,0.526383950221401
1185,-16.4705677519249,0.557928352223645
1186,-15.9744261769882,0.521947364620286
1187,-15.7004537998232,0.541249749895136
1188,-15.6230487693368,0.527032978737154
1189,-15.762841555844,0.486076770929725
1190,-16.1832354670968,0.507020585093708
1191,-16.8995590153693,0.483051857228733
1192,-17.7547482381998,0.542972978973305
1193,-18.5525423924679,0.559820848969169
1194,-19.0651081653185,0.538625687564039
1195,-19.038061184822,0.545991907031811
1196,-18.3755600433304,0.501355951225212
1197,-17.4795060214216,0.54764466827283
1198,-16.8232721155412,0.567690299218916
1199,-16.500961082815,0.601020233313705
1200,-16.3153965542977,0.662309807343054
1201,-16.1200906484541,0.637028993467724
1202,-15.9322324691972,0.661571637784502
1203,-15.7913751851853,0.635162730765382
1204,-15.6561084157836,0.608900001848064
1205,-15.4284674701592,0.644600958092054
1206,-15.0395188447394,0.654520243575056
1207,-14.4970490991543,0.723070777302136
1208,-13.8221561266301,0.702545068254457
1209,-13.0508448585636,0.66037148852866
1210,-12.2286961806378,0.665548868957641
1211,-11.4234308608378,0.637199870431583
1212,-10.7532822461811,0.676420362856179
1213,-10.3311068687626,0.662988818572014
1214,-10.1445554912505,0.659145949669991
1215,-10.1088327498674,0.676082314087605
1216,-10.1328893716984,0.641323297777252
1217,-10.1144994020537,0.675223783838404
1218,-9.96838068764659,0.649404598551564
1219,-9.77271219816079,0.640728013346262
1220,-9.69043748160228,0.663058554598534
1221,-9.76930428754814,0.642264450343918
1222,-9.83832313890804,0.679918764979395
1223,-9.72427143890001,0.646345962761929
1224,-9.42844437211302,0.633978277339621
1225,-9.0347446662013,0.64494018580912
1226,-8.5897456532543,0.60414334607587
1227,-8.07521300776097,0.624162595492951
1228,-7.48572109346027,0.623509599930834
1229,-6.95137211396958,0.734309337510549
1230,-6.65880108110956,0.863648803662672
1231,-6.68059627860875,0.904319173578768
1232,-6.91142754028884,0.972123178632459
1233,-7.23133900247062,0.991935299367767
1234,-7.52837597391028,0.930109537671485
1235,-7.69531869824286,0.891447344964923
1236,-7.62500918848027,0.934069097640272
1237,-7.21028945763441,0.98736162721388
1238,-6.37460913444017,0.961205785000783
1239,-5.3221802685664,0.927958622219001
1240,-4.40810045067892,0.976210618308501
1241,-3.98891582613389,1.03345262078369
1242,-4.34322730341032,0.989365881009379
1243,-5.30816738976452,0.919870676726426
1244,-6.56562147036062,0.930759113527381
1245,-7.79730361765067,0.972952477413249
1246,-8.71697999911956,0.93604462606076
1247,-9.27123520033643,0.88962687713528
1248,-9.5094334122315,0.91845707819954
1249,-9.48139091854234,0.94625276609386
1250,-9.23849472362599,0.914192904326226
1251,-8.84011487028099,0.936285678767274
1252,-8.34793318249433,0.93165475306021
