"calageBP","realisation_1","realisation_2","realisation_3","realisation_4","realisation_5"
1053,-13.1578693949449,-13.9379501955603,-12.0981167092303,-12.943555939031,-13.4227458048069
1054,-13.323138075226,-14.0510483884049,-12.4420215830211,-13.343225033374,-13.9154049910404
1055,-13.5017852439713,-14.173230622749,-12.8093237535874,-13.7660574230718,-14.4267359438749
1056,-13.692187725314,-14.3038462504416,-13.1963645292881,-14.2080228785457,-14.9516811177796
1057,-13.892722343387,-14.4422446233314,-13.5994852184818,-14.6650911702171,-15.4851829672235
1058,-14.1017659223235,-14.5877750932673,-14.0150271295276,-15.1332320685075,-16.0221839466759
1059,-14.3176952862564,-14.7397870120979,-14.439331570784,-15.6084153438382,-16.5576265106059
1060,-14.538887259319,-14.8976297316721,-14.8687398506101,-16.0866107666308,-17.0864531134827
1061,-14.7637186656441,-15.0606526038388,-15.2995932773645,-16.5637881073065,-17.6036062097753
1062,-14.9905663293648,-15.2282049804466,-15.7282331594062,-17.0359171362868,-18.1040282539529
1063,-15.2178070746144,-15.3996362133445,-16.1510008050938,-17.4989676239931,-18.5826617004847
1064,-15.4438177255257,-15.5742956543812,-16.5642375227863,-17.9489093408468,-19.0344490038398
1065,-15.6669751062318,-15.7515326554055,-16.9642846208424,-18.3817120572693,-19.4543326184873
1066,-15.8856560408659,-15.9306965682662,-17.3474834076209,-18.7933455436821,-19.8372549988965
1067,-16.0982373535609,-16.1111367448121,-17.7101751914808,-19.1797795705065,-20.1781585995364
1068,-16.30309586845,-16.292202536892,-18.0487012807807,-19.536983908164,-20.4719858748762
1069,-16.4986084096661,-16.4732432963547,-18.3594029838795,-19.8609283270759,-20.713679279385
1070,-16.6831518114896,-16.6536083708442,-18.6386216437219,-20.147582639392,-20.8981813341411
1071,-16.8553543346882,-16.8325429198456,-18.8835555728175,-20.3939506015736,-21.0220849982875
1072,-17.0147484317206,-17.0089174165162,-19.0944849576965,-20.6007542889609,-21.0879186135093
1073,-17.161069739831,-17.1815181366445,-19.2723825259925,-20.7695513362467,-21.0995442867104
1074,-17.2940538962635,-17.349131356019,-19.4182210053391,-20.9018993781236,-21.0608241247943
1075,-17.4134365382623,-17.5105433504283,-19.5329731233701,-20.9993560492844,-20.9756202346648
1076,-17.5189533030716,-17.6645403956607,-19.6176116077192,-21.0634789844216,-20.8477947232255
1077,-17.6103398279356,-17.8099087675049,-19.6731091860201,-21.095825818228,-20.6812096973802
1078,-17.6873317500983,-17.9454347417494,-19.7004385859065,-21.0979541853963,-20.4797272640326
1079,-17.749664706804,-18.0699045941826,-19.700572535012,-21.0714217206191,-20.2472095300863
1080,-17.7970743352967,-18.1821046005932,-19.6744837609704,-21.0177860585891,-19.987518602445
1081,-17.8292962728208,-18.2808210367695,-19.6231449914154,-20.9386048339989,-19.7045165880125
1082,-17.8460661566203,-18.3648401785001,-19.5475289539807,-20.8354356815413,-19.4020655936924
1083,-17.8471196239395,-18.4329483015736,-19.4486083762999,-20.7098362359089,-19.0840277263885
1084,-17.8321923120224,-18.4839316817784,-19.3273559860067,-20.5633641317945,-18.7542650930043
1085,-17.8010198581132,-18.5165765949031,-19.184744510735,-20.3975770038905,-18.4166398004437
1086,-17.7533378994561,-18.5296693167361,-19.0217466781183,-20.2140324868899,-18.0750139556102
1087,-17.6888820732953,-18.521996123066,-18.8393352157903,-20.0142882154851,-17.7332496654077
1088,-17.6073880168749,-18.4923432896813,-18.6384828513848,-19.799901824369,-17.3952090367397
1089,-17.5085913674391,-18.4394970923705,-18.4201623125354,-19.5724309482341,-17.0647541765101
1090,-17.392227762232,-18.3622438069221,-18.1853463268759,-19.3334332217731,-16.7457471916224
1091,-17.2580328384979,-18.2593697091247,-17.93500762204,-19.0844662796788,-16.4420501889804
1092,-17.1057422334808,-18.1296610747667,-17.6701189256612,-18.8270877566438,-16.1575252754877
1093,-16.9350915844249,-17.9719041796367,-17.3916529653734,-18.5628552873607,-15.8960345580481
1094,-16.7458165285744,-17.7848852995231,-17.1005824688103,-18.2933265065223,-15.6614401435653
1095,-16.5376566756236,-17.5673991319418,-16.7978821618407,-18.0200586841015,-15.4575932124829
1096,-16.3110685107382,-17.3197601744351,-16.4848873754423,-17.7445432720865,-15.2863731366461
1097,-16.0680504217641,-17.0455518099046,-16.1637090536608,-17.4681301568371,-15.1454181929225
1098,-15.8108007900181,-16.7487814141133,-15.8365587419295,-17.1921508628527,-15.0318165642498
1099,-15.5415179968166,-16.4334563628241,-15.5056479856819,-16.917936914633,-14.9426564335656
1100,-15.2624004234766,-16.1035840318,-15.1731883303512,-16.6468198366772,-14.8750259838076
1101,-14.9756464513145,-15.7631717968038,-14.841391321371,-16.3801311534851,-14.8260133979135
1102,-14.6834544616472,-15.4162270335984,-14.5124685041746,-16.119202389556,-14.7927068588208
1103,-14.3880228357913,-15.0667571179468,-14.1886314241954,-15.8653650693895,-14.7721945494673
1104,-14.0915499550634,-14.7187694256119,-13.8720916268668,-15.619950717485,-14.7615646527906
1105,-13.7962342007803,-14.3762713323566,-13.5650606576221,-15.3842908583421,-14.7579053517284
1106,-13.5042739542587,-14.0432702139438,-13.2697500618948,-15.1597170164602,-14.7583048292182
1107,-13.2178675968151,-13.7237734461365,-12.9883713851183,-14.9475607163389,-14.7598512681978
1108,-12.9392135097664,-13.4217884046975,-12.7231361727259,-14.7491534824777,-14.7596328516048
1109,-12.6705100744291,-13.1413224653898,-12.476255970151,-14.565826839376,-14.7547377623768
1110,-12.4139556721201,-12.8863830039762,-12.249942322827,-14.3989123115333,-14.7422541834516
1111,-12.1717486841559,-12.6609773962197,-12.0464067761874,-14.2497414234492,-14.7192702977667
1112,-11.9460874918532,-12.4691130178833,-11.8678608756654,-14.1196456996232,-14.6828742882598
1113,-11.7391704765287,-12.3147972447298,-11.7165161666945,-14.0099566645547,-14.6301543378686
1114,-11.5531960194991,-12.2020374525221,-11.5945841947082,-13.9220058427433,-14.5581986295307
1115,-11.3903625020811,-12.1348410170231,-11.5042765051397,-13.8571247586884,-14.4640953461838
1116,-11.2528683055914,-12.1172153139959,-11.4478046434224,-13.8166449368896,-14.3449326707656
1117,-11.1429118113466,-12.1531677192032,-11.4273801549898,-13.8018979018463,-14.1977987862135
1118,-11.0626914006634,-12.246705608408,-11.4452145852752,-13.8142151780581,-14.0197818754655
1119,-11.0144054548586,-12.4018363573733,-11.5035194797121,-13.8549282900244,-13.807970121459
1120,-11.0002609734649,-12.6223549809693,-11.6044742298598,-13.9252707932252,-13.5596888063877
1121,-11.0228191689449,-12.9033283567589,-11.7489366872136,-14.022449668172,-13.28200810868
1122,-11.085112802783,-13.2282039541366,-11.936005391646,-14.1383114826749,-12.9949711840347
1123,-11.1902073258029,-13.5796237466505,-12.1646569217223,-14.2643312029874,-12.7195205178889
1124,-11.3411681888285,-13.9402297078491,-12.4338678560081,-14.3919837953629,-12.4765985956796
1125,-11.5410608426837,-14.2926638112805,-12.7426147730687,-14.5127442260549,-12.2871479028439
1126,-11.7929507381923,-14.619568030493,-13.0898742514696,-14.6180874613167,-12.1721109248188
1127,-12.099903326178,-14.9035843390349,-13.4746228697764,-14.6994884674019,-12.1524301470412
1128,-12.4649840574648,-15.1273547104544,-13.8958372065545,-14.7484222105639,-12.2490480549484
1129,-12.8912583828764,-15.2735211182999,-14.3524938403693,-14.7563636570561,-12.4829071339772
1130,-13.3817917532366,-15.3247255361196,-14.8435693497863,-14.714787773132,-12.8749498695647
1131,-13.9396496193694,-15.2636099374616,-15.3680403133709,-14.6151695250449,-13.4461187471479
1132,-14.5617135753415,-15.0815081752519,-15.9186476401616,-14.4600855205693,-14.2034778863227
1133,-15.1703493369454,-14.8744918172611,-16.4129920136557,-14.3858878737253,-14.9868561908144
1134,-15.6385915720614,-14.8075272639554,-16.7189206078258,-14.6169560723447,-15.5256169642192
1135,-15.8452091669278,-14.9041813817917,-16.7073188440583,-15.206665365364,-15.6363902014015
1136,-15.6848287054095,-14.8461414135172,-16.258485810211,-15.7947306566793,-15.3497120418293
1137,-15.0586462905783,-14.2717326137301,-15.2594982172107,-15.9668591657338,-14.7287781539899
1138,-14.0487618600587,-13.1090263026133,-13.8275178488143,-15.5936178759332,-13.8912274665126
1139,-12.9819479696333,-11.6779756454358,-12.390896781166,-14.93084688791,-13.0283334721194
1140,-12.202339580084,-10.3263424415409,-11.4000697081092,-14.261725969265,-12.3365949034196
1141,-12.0438914042914,-9.39650497623753,-11.2918590129609,-13.8635486983893,-12.0076609238843
1142,-12.488257317085,-9.04453796696277,-12.0320152099734,-13.8099093516951,-12.0653549929273
1143,-13.0831038231225,-9.19701512876706,-13.0059914665411,-13.923471992483,-12.3267618169294
1144,-13.3882264342314,-9.75942851226188,-13.6149319444656,-14.0205034705595,-12.6087876700699
1145,-13.3279238685553,-10.572182876409,-13.7424262694246,-14.0022701819812,-12.8461213072803
1146,-13.0258888561482,-11.4400783106322,-13.5359759748756,-13.8165357833046,-13.0378819767304
1147,-12.6078456308404,-12.1675521501285,-13.1457714314777,-13.4115376632682,-13.1838453695247
1148,-12.1993567442843,-12.5600929636171,-12.7214315385845,-12.7367833348169,-13.2836478146395
1149,-11.9055444323459,-12.5560892194525,-12.3403281851487,-11.9023529866889,-13.3193070887095
1150,-11.7913522620712,-12.3551651276172,-11.9378203512037,-11.333957761154,-13.2382089212422
1151,-11.8986567093265,-12.1738082081783,-11.4645087635996,-11.422770113006,-13.0039541603498
1152,-12.1162814475943,-12.1153447262092,-11.1357341510766,-11.96604327656,-12.7487614921415
1153,-12.2584435963789,-12.2270883166523,-11.2949046868547,-12.4692762704244,-12.6867162570861
1154,-12.2610073624473,-12.5691273393441,-11.9860388379141,-12.7065991944658,-12.8682343731267
1155,-12.2778117323702,-13.2250601635727,-12.7174043135029,-12.9351249255388,-13.0506967873191
1156,-12.4370012640012,-14.2072805985492,-13.0077828507675,-13.4017752985864,-13.0028948033032
1157,-12.5089768012383,-14.9820419044495,-12.8648246992332,-13.9074689748672,-12.8029879474026
1158,-12.1078432561546,-14.7789034547467,-12.5134687963709,-14.0552108160465,-12.6639438809577
1159,-11.1552205509164,-13.4266436379786,-12.0099555019187,-13.6238000406694,-12.508844565936
1160,-10.0723856503934,-11.7271387140042,-11.1354001602495,-12.6785120779589,-11.789856536908
1161,-9.25942378007995,-10.443200025263,-9.72751233936288,-11.3267038624471,-10.0809319376966
1162,-8.67365918546342,-9.48996791800595,-8.1654464804215,-9.78118299479642,-8.04786438048701
1163,-8.09486320930106,-8.44479971400837,-7.04177146789991,-8.29673307099745,-6.78608742301749
1164,-7.43441246742828,-7.24979077342161,-6.59286627389567,-7.08043022184041,-6.6350341231028
1165,-6.79845377785723,-6.38617354426758,-6.5291060664814,-6.26884127705326,-6.81781277818672
1166,-6.30038790566932,-6.25651801273602,-6.5495079158369,-5.95377819146451,-6.62524069407985
1167,-6.00390324213555,-6.54008979988363,-6.53617404303611,-5.99515799933375,-6.28129609084963
1168,-5.94996541423499,-6.65674872563754,-6.43713065815272,-6.1664276210184,-6.33772676666676
1169,-5.99268407211943,-6.28815541032649,-6.14511751725193,-6.1866975143222,-6.71973775750809
1170,-5.73547661002257,-5.46781073465705,-5.47855067092889,-5.70234290740986,-6.51111174273024
1171,-4.87839041108294,-4.29944572595864,-4.34397899167907,-4.49485577321236,-5.01394560983669
1172,-3.72904234375777,-3.12911109451859,-3.14451376763107,-3.09163341400319,-3.00562649837642
1173,-2.79422313498459,-2.38124604214958,-2.44123282029386,-2.25931505402998,-1.73444332765583
1174,-2.51073145833514,-2.41667896872149,-2.57408656426577,-2.49888489330731,-1.84555603276521
1175,-3.229662260919,-3.51842930382987,-3.61263200237134,-3.98644651901863,-3.24659002142539
1176,-15.9393368074247,-15.5226345066581,-15.1946533629804,-15.6198917017011,-15.1040854084818
1177,-17.9732662935726,-17.8852142242613,-17.1505085666419,-18.2885865578643,-17.496017667867
1178,-18.978754482584,-19.1169068645534,-18.3021450234508,-19.5129930505097,-18.6860419946947
1179,-18.7664757906562,-18.9512566057888,-18.4311274212468,-19.110711860585,-18.4905830166636
1180,-18.2920256534149,-18.2357309127942,-18.0761217972938,-18.3117116285969,-17.8486847465944
1181,-18.306934209897,-17.7175000562499,-17.7264081405205,-18.121138042744,-17.5461219625413
1182,-18.4293363750921,-17.4627265718267,-17.4890300831823,-18.2614997101118,-17.4583275953098
1183,-17.9987299968145,-17.3533065184567,-17.3644692699756,-18.1294569254354,-17.2311607665854
1184,-16.9550362531242,-17.233784282451,-17.2581090212811,-17.5525028873668,-16.8563086447503
1185,-15.8476821075107,-16.9107902160646,-16.978797782249,-16.7954824367371,-16.6765183903752
1186,-15.1431676465129,-16.2962440445943,-16.4224676584451,-16.1152570928015,-16.8909551443989
1187,-14.8829827404338,-15.7148599167099,-15.8377002162766,-15.6625162232188,-17.0842726989491
1188,-15.0071284700573,-15.5731886136733,-15.5494753408618,-15.5555205558858,-16.7298402030038
1189,-15.4757755010525,-15.9221792498108,-15.7091993747073,-15.7755030341467,-16.0420709602399
1190,-16.2677528858321,-16.4837596152459,-16.3076706673647,-16.1769137003374,-15.9210126878648
1191,-17.3201129263323,-17.0422856138592,-17.2736425364107,-16.6639135044012,-16.9382674709836
1192,-18.4225175680384,-17.6416959448211,-18.3415677855827,-17.3297057113414,-18.4362713326365
1193,-19.333731562127,-18.3675789566837,-19.2090643096975,-18.2826080600262,-19.5199647305155
1194,-19.830584263521,-19.0537255437228,-19.664697823584,-19.1853522880908,-19.7925408790922
1195,-19.7052039902101,-19.3216858753034,-19.573766944616,-19.3251048448216,-19.2773961395577
1196,-18.897001659679,-18.9705567716828,-18.8985426629458,-18.3481836689595,-18.1439887481458
1197,-17.8038724577867,-18.374680483223,-17.8966503567256,-17.0592899185874,-16.9768672633246
1198,-16.89049204169,-17.9908667641571,-16.8792607964097,-16.4265406747817,-16.4014938573304
